,SECRETARIA,CODIGO_INSTITUCION,NOMBRE_INSTITUCION,COD_DPTO,DEPARTAMENTO,COD_MPIO,MUNICIPIO,NATURALEZA,CERTIFICADO_CALIDAD,LAT,LNG
1064,secretaria de educacion municipal de tumaco,9225,instituto tecnico empresarial colombiano,52,nariño,52835,tumaco,mixta,no,1.8067,-78.7647
1065,secretaria de educacion municipal de duitama,4877,instituto tecnico los andes - iteandes,15,boyaca,15238,duitama,privada,si,5.8219,-73.0297
1066,secretaria de educacion departamental cauca,4015,corporacion de salud y justicia florence nightingale,19,cauca,19573,puerto tejada,privada,no,3.23,-76.4175
1067,secretaria de educacion municipal de pitalito,8024,instituto tecnico surcolombiano unibell universo de la belleza,41,huila,41551,pitalito,privada,no,1.8539,-76.0514
1068,secretaria de educacion distrito bogota,1573,academia de belleza bolivariana,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
1069,secretaria de educacion departamental magdalena,7073,instituto pedagogico y tecnologico procasys,47,magdalena,47245,el banco,privada,no,9.0008,-73.9744
1070,secretaria de educacion municipal de piedecuesta,4502,"escuela de artes,administracion,finanzas y salud eafys ltda",68,santander,68547,piedecuesta,privada,no,6.9886,-73.0503
1071,secretaria de educacion municipal de ipiales,4348,instituto tecnico jesus de nazareth - itejnat,52,nariño,52356,ipiales,privada,no,0.8289,-77.6406
1072,secretaria de educacion distrito bogota,8139,centro de idiomas universal learning academics,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
1073,secretaria de educacion municipal de armenia,2984,asociacion educativa,63,quindio,63001,armenia,privada,no,4.5389,-75.6725
1074,secretaria de educacion municipal de armenia,2984,asociacion educativa,63,quindio,63001,armenia,privada,no,6.1564,-75.7858
1075,secretaria de educacion municipal de turbo,4433,escuela de comercio computacion y sistemas ecosistemas,5,antioquia,5837,turbo,privada,no,8.0931,-76.7283
1076,secretaria de educacion distrito bogota,4557,centro electronico de idiomas  funcei,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
1077,secretaria de educacion distrito santa marta,6382,escuela colombiana para la salud y la estetica siluet 2000,47,magdalena,47001,santa marta,privada,no,11.2361,-74.2017
1078,secretaria de educacion departamental bolivar,9470,"instituto de enseñanza y capacitacion tecnica de la sabana ""idectsa"" - maria la baja",13,bolivar,13442,maria la baja,privada,no,9.9811,-75.2986
1079,secretaria de educacion municipal de pasto,9066,centro de idiomas universidad de nariño,52,nariño,52001,pasto,oficial,no,1.2136,-77.2811
1080,secretaria de educacion distrito bogota,2009,centro de tecnicos auxiliares en enfermeria alexander fleming,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
1081,secretaria de educacion departamental de antioquia,5241,"centro de capacitacion laboral y formacion ciudadana ""cencala""",5,antioquia,5376,la ceja,privada,si,6.0308,-75.4315
1082,secretaria de educacion municipal de cali,2674,politecnico maria auxiliadora,76,valle del cauca,76001,cali,privada,si,3.44,-76.5197
1084,secretaria de educacion departamental cundinamarca,8565,academia de belleza la mejor imagen,25,cundinamarca,25875,villeta,privada,no,5.0128,-74.4731
1085,secretaria de educacion municipal de neiva,642,escuela de salud emcosalud,41,huila,41001,neiva,privada,no,2.9275,-75.2875
1086,secretaria de educacion departamental caldas,4235,fundacion manuel mejia,17,caldas,17174,chinchina,privada,no,4.9825,-75.6036
1087,secretaria de educacion departamental magdalena,7807,centro educativo politecnico del magdalena,47,magdalena,47245,el banco,privada,no,9.0008,-73.9744
1088,secretaria de educacion municipal de medellin,2934,glotta idiomas winston salem,5,antioquia,5001,medellin,privada,si,6.2447,-75.5748
1089,secretaria de educacion municipal de yopal,6815,centro de capacitacion social y preparacion objetiva cedecspro,85,casanare,85001,yopal,privada,no,5.3306,-72.3906
1090,secretaria de educacion municipal de tumaco,8528,instituto tecnico vigotsky,52,nariño,52835,tumaco,privada,no,1.8067,-78.7647
1091,secretaria de educacion departamental cundinamarca,5253,centro sofia koppel,25,cundinamarca,25126,cajica,privada,no,4.9167,-74.025
1092,secretaria de educacion municipal de bucaramanga,9414,corporacion educativa de santander - corpesander,68,santander,68001,bucaramanga,privada,no,7.1186,-73.1161
1093,secretaria de educacion departamental risaralda,7610,institucion cooperativa de educacion para el trabajo y el desarrollo humano inscoop,66,risaralda,66682,santa rosa de cabal,privada,no,4.8672,-75.6211
1094,secretaria de educacion departamental caldas,7885,instituto tecnico educativo inted,17,caldas,17174,chinchina,privada,no,4.9825,-75.6036
1095,secretaria de educacion municipal de riohacha,5264,"corporacion educativa ocupacional empresarial y sistematizada "" ceotes""",44,la guajira,44001,riohacha,privada,no,11.5442,-72.9069
1096,secretaria de educacion departamental valle,8858,lettys escuela de belleza,76,valle del cauca,76400,la union,privada,no,4.5331,-76.1006
1097,secretaria de educacion departamental valle,8858,lettys escuela de belleza,76,valle del cauca,76400,la union,privada,no,1.6053,-77.1297
1098,secretaria de educacion departamental valle,8858,lettys escuela de belleza,76,valle del cauca,76400,la union,privada,no,5.9728,-75.3611
1099,secretaria de educacion departamental valle,8858,lettys escuela de belleza,76,valle del cauca,76400,la union,privada,no,8.8572,-75.2767
1100,secretaria de educacion municipal de cali,3804,instituto calima,76,valle del cauca,76001,cali,privada,no,3.44,-76.5197
1101,secretaria de educacion municipal de buenaventura,4766,fundacion san martin,76,valle del cauca,76109,buenaventura,privada,no,3.8772,-77.0267
1102,secretaria de educacion municipal de villavicencio,3882,english and french institute,50,meta,50001,villavicencio,privada,no,4.1425,-73.6294
1103,secretaria de educacion departamental atlantico,8471,elyon yireh,8,atlantico,8606,repelon,privada,no,10.4944,-75.1242
1104,secretaria de educacion municipal de funza,5247,escuela penitenciaria nacional,25,cundinamarca,25286,funza,oficial,no,4.7175,-74.2094
1105,secretaria de educacion municipal de medellin,7423,instituto tecnico laboral colombiano,5,antioquia,5001,medellin,privada,no,6.2447,-75.5748
1106,secretaria de educacion departamental nariño,7571,instituto de educacion tecnica para el desarrollo incatd,52,nariño,52317,guachucal,privada,no,0.9603,-77.7319
1107,secretaria de educacion departamental nariño,7528,institucion educativa para la competitividad y el desarrollo inecod,52,nariño,52110,buesaco,privada,no,1.3847,-77.1564
1108,secretaria de educacion municipal de lorica,2745,inter system express r&b sas,23,cordoba,23417,lorica,privada,no,9.2419,-75.816
1109,secretaria de educacion distrito santa marta,5072,corporacion asmedas magdalena - ss - asmemag,47,magdalena,47001,santa marta,privada,no,11.2361,-74.2017
1110,secretaria de educacion municipal de medellin,8429,corporacion universitaria remington,5,antioquia,5001,medellin,privada,no,6.2447,-75.5748
1111,secretaria de educacion distrito bogota,8763,wall street inglish sede plaza imperial,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
1112,secretaria de educacion departamental cauca,7424,instituto de capacitacion y asesorias tecnicas incat escuela hipocrates,19,cauca,19573,puerto tejada,privada,no,3.23,-76.4175
1113,secretaria de educacion municipal de armenia,5618,escuela diseño de modas,63,quindio,63001,armenia,privada,no,4.5389,-75.6725
1114,secretaria de educacion municipal de armenia,5618,escuela diseño de modas,63,quindio,63001,armenia,privada,no,6.1564,-75.7858
1115,secretaria de educacion departamental de antioquia,7579,instituto feminista de formacion integral con equidad de genero,5,antioquia,5031,amalfi,privada,no,6.9092,-75.0767
