,CÓDIGO INSTITUCIÓN,NOMBRE INSTITUCIÓN,PRINCIPAL/SECCIONAL,NATURALEZA JURÍDICA,SECTOR,CARÁCTER ACADÉMICO,DEPARTAMENTO DOMICILIO,MUNICIPIO,¿ACREDITADA ALTA CALIDAD?,LAT,LNG,CONTEO
20,1125,universidad nacional de colombia,seccional,nacional,oficial,universidad,amazonas,leticia,si,-4.215,-69.9411,1
21,1126,universidad nacional de colombia,seccional,nacional,oficial,universidad,archipielago de san andres providencia y santa catalina,san andres,si,12.5847,-81.7006,6
22,1126,universidad nacional de colombia,seccional,nacional,oficial,universidad,archipielago de san andres providencia y santa catalina,san andres,si,6.9033,-75.6825,6
23,1126,universidad nacional de colombia,seccional,nacional,oficial,universidad,archipielago de san andres providencia y santa catalina,san andres,si,6.8115,-72.8493,6
24,1201,universidad de antioquia,principal,departamental,oficial,universidad,antioquia,medellin,si,6.2447,-75.5748,34
25,1202,universidad del atlantico,principal,departamental,oficial,universidad,atlantico,puerto colombia,si,10.9922,-74.9528,1
26,1203,universidad del valle,principal,departamental,oficial,universidad,valle del cauca,cali,si,3.44,-76.5197,23
27,1204,universidad industrial de santander,principal,departamental,oficial,universidad,santander,bucaramanga,si,7.1186,-73.1161,14
28,1206,universidad de nariño,principal,departamental,oficial,universidad,nariño,pasto,si,1.2136,-77.2811,5
29,1207,universidad del tolima,principal,departamental,oficial,universidad,tolima,ibague,si,4.4378,-75.2006,3
30,1208,universidad del quindio,principal,departamental,oficial,universidad,quindio,armenia,si,4.5389,-75.6725,10
31,1208,universidad del quindio,principal,departamental,oficial,universidad,quindio,armenia,si,6.1564,-75.7858,10
32,1210,universidad francisco de paula santander,seccional,departamental,oficial,universidad,norte de santander,ocaña,no,8.2461,-73.3553,1
33,1212,universidad de pamplona,principal,departamental,oficial,universidad,norte de santander,pamplona,no,7.3761,-72.6483,2
34,1213,universidad del magdalena - unimagdalena,principal,departamental,oficial,universidad,magdalena,santa marta,si,11.2361,-74.2017,3
35,1214,universidad de cundinamarca-udec,principal,departamental,oficial,universidad,cundinamarca,fusagasuga,no,4.3372,-74.3644,1
36,1215,universidad de cundinamarca-udec,seccional,departamental,oficial,universidad,cundinamarca,girardot,no,4.3036,-74.8039,2
37,1216,universidad de cundinamarca-udec,seccional,departamental,oficial,universidad,cundinamarca,villa de san diego de ubate,no,5.3072,-73.8144,1
38,1217,universidad de sucre,principal,departamental,oficial,universidad,sucre,sincelejo,no,9.2994,-75.3958,3
39,1218,universidad de la guajira,principal,departamental,oficial,universidad,la guajira,riohacha,no,11.5442,-72.9069,1
40,1220,universidad de antioquia,seccional,departamental,oficial,universidad,antioquia,andes,no,5.6556,-75.8803,1
41,1221,universidad de antioquia,seccional,departamental,oficial,universidad,antioquia,caucasia,no,7.9865,-75.1935,1
42,1222,universidad de antioquia,seccional,departamental,oficial,universidad,antioquia,puerto berrio,no,6.4906,-74.4047,1
43,1223,universidad de antioquia,seccional,departamental,oficial,universidad,antioquia,turbo,no,8.0931,-76.7283,1
44,1702,pontificia universidad javeriana,seccional,fundacion,privada,universidad,valle del cauca,cali,si,3.44,-76.5197,23
45,1705,universidad santo tomas,seccional,fundacion,privada,universidad,santander,bucaramanga,si,7.1186,-73.1161,14
46,1710,universidad pontificia bolivariana,principal,fundacion,privada,universidad,antioquia,medellin,si,6.2447,-75.5748,34
47,1711,universidad de la sabana,principal,fundacion,privada,universidad,cundinamarca,chia,si,4.8633,-74.0528,3
48,1712,universidad eafit-,principal,fundacion,privada,universidad,antioquia,medellin,si,6.2447,-75.5748,34
49,1713,universidad del norte,principal,fundacion,privada,universidad,atlantico,barranquilla,si,10.9639,-74.7964,16
50,1716,universidad de san buenaventura,seccional,fundacion,privada,universidad,valle del cauca,cali,si,3.44,-76.5197,23
51,1717,universidad de san buenaventura,seccional,fundacion,privada,universidad,antioquia,medellin,si,6.2447,-75.5748,34
52,1720,universidad mariana,principal,fundacion,privada,universidad,nariño,pasto,no,1.2136,-77.2811,5
